date,year,month,Healthcare_Quit_Rate,Healthcare_Total_Separations,Healthcare_Hires_Rate,pre_covid,during_covid,post_covid
2019-01-01,2019,1,2.67,3.74,2.93,True,False,False
2019-02-01,2019,2,2.77,3.88,3.2,True,False,False
2019-03-01,2019,3,2.66,3.73,2.91,True,False,False
2019-04-01,2019,4,2.91,4.07,3.28,True,False,False
2019-05-01,2019,5,2.53,3.54,2.84,True,False,False
2019-06-01,2019,6,2.43,3.4,2.63,True,False,False
2019-07-01,2019,7,2.44,3.41,2.49,True,False,False
2019-08-01,2019,8,2.07,2.9,2.22,True,False,False
2019-09-01,2019,9,2.15,3.01,2.39,True,False,False
2019-10-01,2019,10,2.19,3.07,2.27,True,False,False
2019-11-01,2019,11,2.62,3.67,2.86,True,False,False
2019-12-01,2019,12,2.51,3.51,2.62,True,False,False
2020-01-01,2020,1,2.52,3.53,2.78,True,False,False
2020-02-01,2020,2,2.5,3.5,2.79,True,False,False
2020-03-01,2020,3,2.11,2.95,2.29,False,True,False
2020-04-01,2020,4,2.08,2.92,2.48,False,True,False
2020-05-01,2020,5,2.1,2.94,2.2,False,True,False
2020-06-01,2020,6,2.92,4.09,3.09,False,True,False
2020-07-01,2020,7,2.73,3.82,2.81,False,True,False
2020-08-01,2020,8,2.43,3.4,2.69,False,True,False
2020-09-01,2020,9,2.71,3.8,3.0,False,True,False
2020-10-01,2020,10,2.61,3.65,2.84,False,True,False
2020-11-01,2020,11,2.48,3.47,2.65,False,True,False
2020-12-01,2020,12,2.73,3.82,3.11,False,True,False
2021-01-01,2021,1,3.35,4.69,3.51,False,True,False
2021-02-01,2021,2,3.42,4.79,3.73,False,True,False
2021-03-01,2021,3,3.3,4.62,3.69,False,True,False
2021-04-01,2021,4,3.53,4.94,3.97,False,True,False
2021-05-01,2021,5,3.17,4.44,3.46,False,True,False
2021-06-01,2021,6,3.25,4.55,3.67,False,False,True
2021-07-01,2021,7,3.03,4.24,3.31,False,False,True
2021-08-01,2021,8,2.86,4.01,3.03,False,False,True
2021-09-01,2021,9,3.12,4.37,3.57,False,False,True
2021-10-01,2021,10,3.02,4.22,3.42,False,False,True
2021-11-01,2021,11,3.15,4.42,3.41,False,False,True
2021-12-01,2021,12,3.25,4.56,3.73,False,False,True
2022-01-01,2022,1,3.47,4.85,3.97,False,False,True
2022-02-01,2022,2,3.15,4.41,3.55,False,False,True
2022-03-01,2022,3,3.59,5.02,3.91,False,False,True
2022-04-01,2022,4,3.56,4.98,3.72,False,False,True
2022-05-01,2022,5,3.44,4.82,3.82,False,False,True
2022-06-01,2022,6,3.59,5.03,3.9,False,False,True
2022-07-01,2022,7,3.15,4.41,3.42,False,False,True
2022-08-01,2022,8,3.34,4.67,3.7,False,False,True
2022-09-01,2022,9,3.09,4.33,3.45,False,False,True
2022-10-01,2022,10,3.21,4.5,3.63,False,False,True
2022-11-01,2022,11,3.17,4.44,3.45,False,False,True
2022-12-01,2022,12,3.31,4.64,3.5,False,False,True
2023-01-01,2023,1,3.17,4.44,3.51,False,False,True
2023-02-01,2023,2,3.2,4.48,3.5,False,False,True
2023-03-01,2023,3,3.01,4.22,3.27,False,False,True
2023-04-01,2023,4,3.15,4.41,3.38,False,False,True
2023-05-01,2023,5,3.1,4.34,3.45,False,False,True
2023-06-01,2023,6,3.31,4.63,3.66,False,False,True
2023-07-01,2023,7,2.97,4.15,3.25,False,False,True
2023-08-01,2023,8,2.57,3.59,2.82,False,False,True
2023-09-01,2023,9,2.84,3.97,3.37,False,False,True
2023-10-01,2023,10,2.82,3.95,3.14,False,False,True
2023-11-01,2023,11,2.92,4.09,3.1,False,False,True
2023-12-01,2023,12,3.2,4.48,3.59,False,False,True
2024-01-01,2024,1,3.42,4.79,3.67,False,False,True
2024-02-01,2024,2,3.58,5.02,3.8,False,False,True
2024-03-01,2024,3,3.49,4.88,4.06,False,False,True
2024-04-01,2024,4,3.22,4.51,3.49,False,False,True
2024-05-01,2024,5,3.31,4.64,3.6,False,False,True
2024-06-01,2024,6,2.97,4.15,3.27,False,False,True
2024-07-01,2024,7,2.94,4.12,3.28,False,False,True
2024-08-01,2024,8,2.89,4.04,3.33,False,False,True
2024-09-01,2024,9,2.88,4.04,3.14,False,False,True
2024-10-01,2024,10,3.15,4.41,3.34,False,False,True
2024-11-01,2024,11,3.13,4.39,3.58,False,False,True
2024-12-01,2024,12,2.96,4.14,3.27,False,False,True
